id,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
hospital_1_1,Which department has the largest number of employees?,SELECT name FROM department GROUP BY departmentID ORDER BY count(departmentID) DESC LIMIT 1;,SELECT T1.name FROM department AS T1 JOIN physician AS T2 ON T1.department = T2.physician * GROUP BY T1.DepartmentID ORDER BY count(*) DESC LIMIT 1,,0,0,0,8082.59,ParseError
hospital_1_2,Find the department with the most employees.,SELECT name FROM department GROUP BY departmentID ORDER BY count(departmentID) DESC LIMIT 1;,SELECT T1.name FROM department AS T1 JOIN physician AS T2 ON T1.department = T2.physician * GROUP BY T1.DepartmentID ORDER BY count(*) DESC LIMIT 1,,0,0,0,1652.68,ParseError
hospital_1_3,What is the employee id of the head whose department has the least number of employees?,SELECT head FROM department GROUP BY departmentID ORDER BY count(departmentID) LIMIT 1;,SELECT T1.employeeid FROM department AS T1 JOIN physician AS T2 ON T1.head = T2.physician * GROUP BY T1.departmentID ORDER BY count(*) LIMIT 1,,0,0,0,2727.25,ParseError
hospital_1_4,Tell me the employee id of the head of the department with the least employees.,SELECT head FROM department GROUP BY departmentID ORDER BY count(departmentID) LIMIT 1;,SELECT T1.EmployeeID FROM department AS T1 JOIN physician AS T2 ON T1.DepartmentID = T2.Physician * GROUP BY T1.DEPARTMENTID ORDER BY count(*) LIMIT 1,,0,0,0,1832.82,ParseError
hospital_1_5,what is the name and position of the head whose department has least number of employees?,"SELECT T2.name ,  T2.position FROM department AS T1 JOIN physician AS T2 ON T1.head  =  T2.EmployeeID GROUP BY departmentID ORDER BY count(departmentID) LIMIT 1;","SELECT T1.name, T1.position FROM department AS T1 JOIN physician AS T2 ON T1.EmployeeID = T2.physician ORDER BY count(departmentID) LIMIT 1","SELECT T1.name, T1.position FROM department AS T1 JOIN physician AS T2 ON T1.EmployeeID = T2.physician ORDER BY COUNT(departmentID) LIMIT 1",0,0,0,1507.1,no such column: T1.position
hospital_1_6,Find the name and position of the head of the department with the least employees.,"SELECT T2.name ,  T2.position FROM department AS T1 JOIN physician AS T2 ON T1.head  =  T2.EmployeeID GROUP BY departmentID ORDER BY count(departmentID) LIMIT 1;","SELECT T2.name, T2.position FROM department AS T1 JOIN physician AS T2 ON T1.department = T2.physician * GROUP BY departmentID ORDER BY count(*) LIMIT 1",,0,0,0,1674.63,ParseError
hospital_1_7,What are names of patients who made an appointment?,SELECT name FROM appointment AS T1 JOIN patient AS T2 ON T1.patient  =  T2.ssn;,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient,0,1,1,1154.87,
hospital_1_8,List the names of patients who have made appointments.,SELECT name FROM appointment AS T1 JOIN patient AS T2 ON T1.patient  =  T2.ssn;,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient,0,1,1,1283.51,
hospital_1_9,what are name and phone number of patients who had more than one appointment?,"SELECT name ,  phone FROM appointment AS T1 JOIN patient AS T2 ON T1.patient  =  T2.ssn GROUP BY T1.patient HAVING count(*)  >  1;","SELECT T1.name, T1.phone FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient GROUP BY T1.employeeid HAVING count(*) > 1","SELECT T1.name, T1.phone FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient GROUP BY T1.employeeid HAVING COUNT(*) > 1",0,0,0,1571.32,no such column: T1.employeeid
hospital_1_10,Which patients made more than one appointment? Tell me the name and phone number of these patients.,"SELECT name ,  phone FROM appointment AS T1 JOIN patient AS T2 ON T1.patient  =  T2.ssn GROUP BY T1.patient HAVING count(*)  >  1;","SELECT T1.name, T1.phone FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient GROUP BY T1.employeeid HAVING count(*) > 1","SELECT T1.name, T1.phone FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient GROUP BY T1.employeeid HAVING COUNT(*) > 1",0,0,0,1584.83,no such column: T1.employeeid
hospital_1_11,Find the id of the appointment with the most recent start date?,SELECT appointmentid FROM appointment ORDER BY START DESC LIMIT 1;,SELECT appointmentid FROM appointment ORDER BY start DESC LIMIT 1,SELECT appointmentid FROM appointment ORDER BY start DESC LIMIT 1,0,1,1,618.52,
hospital_1_12,What is the id of the appointment that started most recently?,SELECT appointmentid FROM appointment ORDER BY START DESC LIMIT 1;,SELECT appointmentid FROM appointment ORDER BY start DESC LIMIT 1,SELECT appointmentid FROM appointment ORDER BY start DESC LIMIT 1,0,1,1,1200.33,
hospital_1_13,List the name of physicians who took some appointment.,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician  =  T2.EmployeeID;,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician = T2.EmployeeID,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician = T2.EmployeeID,1,1,1,1441.24,
hospital_1_14,What are the names of all the physicians who took appointments.,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician  =  T2.EmployeeID;,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician = T2.EmployeeID,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician = T2.EmployeeID,1,1,1,1440.72,
hospital_1_15,List the name of physicians who never took any appointment.,SELECT name FROM physician EXCEPT SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician  =  T2.EmployeeID;,SELECT name FROM physician WHERE EMPLOYEEID NOT IN (SELECT physician FROM appointment),SELECT name FROM physician WHERE NOT EMPLOYEEID IN (SELECT physician FROM appointment),0,1,1,1373.59,
hospital_1_16,Which physicians have never taken any appointment? Find their names.,SELECT name FROM physician EXCEPT SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician  =  T2.EmployeeID;,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician = T2.EmployeeID WHERE T1.SSN = 'A',SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician = T2.EmployeeID WHERE T1.SSN = 'A',0,0,0,3531.74,no such column: T1.SSN
hospital_1_17,Find the names of all physicians and their primary affiliated departments' names.,"SELECT T1.name ,  T3.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T2.PrimaryAffiliation  =  1;","SELECT T1.name, T1.department FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.employeeid = T2.physician WHERE T2.primaryaffiliation = 1","SELECT T1.name, T1.department FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.employeeid = T2.physician WHERE T2.primaryaffiliation = 1",0,0,0,3403.55,no such column: T1.department
hospital_1_18,What are the name and primarily affiliated department name of each physician?,"SELECT T1.name ,  T3.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T2.PrimaryAffiliation  =  1;","SELECT T1.name, T1.principalaffiliation FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.employeeid = T2.physician WHERE T2.firstaid = 'FK'","SELECT T1.name, T1.principalaffiliation FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.employeeid = T2.physician WHERE T2.firstaid = 'FK'",0,0,0,3785.33,no such column: T1.principalaffiliation
hospital_1_19,What is the name of the patient who made the most recent appointment?,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient ORDER BY T2.start DESC LIMIT 1;,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient ORDER BY T2.dateUndergoes DESC LIMIT 1,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient ORDER BY T2.dateUndergoes DESC LIMIT 1,0,0,0,2322.77,no such column: T2.dateUndergoes
hospital_1_20,Find the name of the patient who made the appointment with the most recent start date.,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient ORDER BY T2.start DESC LIMIT 1;,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient ORDER BY T2.start DESC LIMIT 1,SELECT T1.name FROM patient AS T1 JOIN appointment AS T2 ON T1.ssn = T2.patient ORDER BY T2.start DESC LIMIT 1,1,1,1,2142.47,
hospital_1_21,How many patients stay in room 112?,SELECT count(patient) FROM stay WHERE room  =  112;,SELECT count(*) FROM patient AS T1 JOIN stay AS T2 ON T1.SSN = T2.patient WHERE T1.room = 112,SELECT COUNT(*) FROM patient AS T1 JOIN stay AS T2 ON T1.SSN = T2.patient WHERE T1.room = 112,0,0,0,2139.81,no such column: T1.room
hospital_1_22,Count the number of patients who stayed in room 112.,SELECT count(patient) FROM stay WHERE room  =  112;,SELECT count(*) FROM patient AS T1 JOIN stay AS T2 ON T1.SSN = T2.patient WHERE T2.room = 112,SELECT COUNT(*) FROM patient AS T1 JOIN stay AS T2 ON T1.SSN = T2.patient WHERE T2.room = 112,0,1,1,2618.66,
hospital_1_23,How many patients' prescriptions are made by physician John Dorian?,"SELECT count(T1.SSN) FROM patient AS T1 JOIN prescribes AS T2 ON T1.SSN  =  T2.patient JOIN physician AS T3 ON T2.physician  =  T3.employeeid WHERE T3.name = ""John Dorian"";","SELECT count(*) FROM patient AS T1 JOIN prescribes AS T2 ON T1.ssn = T2.patient WHERE T1.name = ""John Dorian""","SELECT COUNT(*) FROM patient AS T1 JOIN prescribes AS T2 ON T1.ssn = T2.patient WHERE T1.name = ""John Dorian""",0,0,1,2742.32,
hospital_1_24,Find the number of patients' prescriptions physician John Dorian made.,"SELECT count(T1.SSN) FROM patient AS T1 JOIN prescribes AS T2 ON T1.SSN  =  T2.patient JOIN physician AS T3 ON T2.physician  =  T3.employeeid WHERE T3.name = ""John Dorian"";","SELECT count(*) FROM patient AS T1 JOIN prescribes AS T2 ON T1.SSN = T2.patient WHERE T1.name = ""John Dorian""","SELECT COUNT(*) FROM patient AS T1 JOIN prescribes AS T2 ON T1.SSN = T2.patient WHERE T1.name = ""John Dorian""",0,0,1,2717.61,
hospital_1_25,Find the name of medication used on the patient who stays in room 111?,SELECT T4.name FROM stay AS T1 JOIN patient AS T2 ON T1.Patient  =  T2.SSN JOIN Prescribes AS T3 ON T3.Patient  =  T2.SSN JOIN Medication AS T4 ON T3.Medication  =  T4.Code WHERE room  =  111;,SELECT T1.name FROM medication AS T1 JOIN stay AS T2 ON T1.code = T2.medication WHERE T2.room = 111,SELECT T1.name FROM medication AS T1 JOIN stay AS T2 ON T1.code = T2.medication WHERE T2.room = 111,0,0,0,2069.08,no such column: T2.medication
hospital_1_26,What is the name of the medication used for the patient staying in room 111?,SELECT T4.name FROM stay AS T1 JOIN patient AS T2 ON T1.Patient  =  T2.SSN JOIN Prescribes AS T3 ON T3.Patient  =  T2.SSN JOIN Medication AS T4 ON T3.Medication  =  T4.Code WHERE room  =  111;,SELECT T1.name FROM medication AS T1 JOIN stay AS T2 ON T1.code = T2.medication WHERE T2.room = 111,SELECT T1.name FROM medication AS T1 JOIN stay AS T2 ON T1.code = T2.medication WHERE T2.room = 111,0,0,0,2079.2,no such column: T2.medication
hospital_1_27,Find the patient who most recently stayed in room 111.,SELECT patient FROM stay WHERE room  =  111 ORDER BY staystart DESC LIMIT 1;,SELECT patient FROM stay WHERE room = 111 ORDER BY staystart DESC LIMIT 1,SELECT patient FROM stay WHERE room = 111 ORDER BY staystart DESC LIMIT 1,1,1,1,2690.45,
hospital_1_28,What is the id of the patient who stayed in room 111 most recently?,SELECT patient FROM stay WHERE room  =  111 ORDER BY staystart DESC LIMIT 1;,SELECT patient FROM stay WHERE room = 111 ORDER BY staystart DESC LIMIT 1,SELECT patient FROM stay WHERE room = 111 ORDER BY staystart DESC LIMIT 1,1,1,1,2910.72,
hospital_1_29,What is the name of the nurse has the most appointments?,SELECT T1.name FROM nurse AS T1 JOIN appointment AS T2 ON T1.employeeid  =  T2.prepnurse GROUP BY T1.employeeid ORDER BY count(*) DESC LIMIT 1;,SELECT T2.name FROM appointment AS T1 JOIN nurse AS T2 ON T1.prepnurse = T2.employeeid WHERE T1.ssn = 1 GROUP BY T1.surgery ORDER BY count(*) DESC LIMIT 1,SELECT T2.name FROM appointment AS T1 JOIN nurse AS T2 ON T1.prepnurse = T2.employeeid WHERE T1.ssn = 1 GROUP BY T1.surgery ORDER BY COUNT(*) DESC LIMIT 1,0,0,0,3943.62,no such column: T1.ssn
hospital_1_30,Find the name of the nurse who has the largest number of appointments.,SELECT T1.name FROM nurse AS T1 JOIN appointment AS T2 ON T1.employeeid  =  T2.prepnurse GROUP BY T1.employeeid ORDER BY count(*) DESC LIMIT 1;,SELECT T1.name FROM nurse AS T1 JOIN appointment AS T2 ON T1.employeeid = T2.prepnurse GROUP BY T1.jobid ORDER BY count(*) DESC LIMIT 1,SELECT T1.name FROM nurse AS T1 JOIN appointment AS T2 ON T1.employeeid = T2.prepnurse GROUP BY T1.jobid ORDER BY COUNT(*) DESC LIMIT 1,0,0,0,3388.87,no such column: T1.jobid
hospital_1_31,How many patients do each physician take care of? List their names and number of patients they take care of.,"SELECT T1.name ,  count(*) FROM physician AS T1 JOIN patient AS T2 ON T1.employeeid  =  T2.PCP GROUP BY T1.employeeid;","SELECT T1.name, count(*) FROM physician AS T1 JOIN department AS T2 ON T1.EmployeeID = T2.DepartmentID WHERE T2.name = 'FK'","SELECT T1.name, COUNT(*) FROM physician AS T1 JOIN department AS T2 ON T1.EmployeeID = T2.DepartmentID WHERE T2.name = 'FK'",0,0,1,3855.36,
hospital_1_32,Return the name of each physician and the number of patients he or she treats.,"SELECT T1.name ,  count(*) FROM physician AS T1 JOIN patient AS T2 ON T1.employeeid  =  T2.PCP GROUP BY T1.employeeid;","SELECT T1.name, count(*) FROM physician AS T1 JOIN patient AS T2 ON T1.employeeid = T2.PCP GROUP BY T1.physician","SELECT T1.name, COUNT(*) FROM physician AS T1 JOIN patient AS T2 ON T1.employeeid = T2.PCP GROUP BY T1.physician",0,0,0,3728.15,no such column: T1.physician
hospital_1_33,Find the name of physicians who are in charge of more than one patient.,SELECT T1.name FROM physician AS T1 JOIN patient AS T2 ON T1.employeeid  =  T2.PCP GROUP BY T1.employeeid HAVING count(*)  >  1;,SELECT T2.name FROM patient AS T1 JOIN physician AS T2 ON T1.ssn = T2.PCP GROUP BY T1.employeeid HAVING count(*) > 1,SELECT T2.name FROM patient AS T1 JOIN physician AS T2 ON T1.ssn = T2.PCP GROUP BY T1.employeeid HAVING COUNT(*) > 1,0,0,0,3267.65,no such column: T2.PCP
hospital_1_34,Which physicians are in charge of more than one patient? Give me their names.,SELECT T1.name FROM physician AS T1 JOIN patient AS T2 ON T1.employeeid  =  T2.PCP GROUP BY T1.employeeid HAVING count(*)  >  1;,SELECT T1.name FROM physician AS T1 JOIN patient AS T2 ON T1.EmployeeID = T2.PCP GROUP BY T1.employed_with physician ORDER BY count(*) DESC LIMIT 1,,0,0,0,3027.3,ParseError
hospital_1_35,Find the number of rooms located on each block floor.,"SELECT count(*) ,  T1.blockfloor FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockfloor;","SELECT count(*), T1.blockfloor FROM BLOCK AS T1 JOIN patient AS T2 ON T1.BLOCKFLOOR = T2.BLOOD WHERE T2.SSN = 'A' GROUP BY T2.blockfloor","SELECT COUNT(*), T1.blockfloor FROM BLOCK AS T1 JOIN patient AS T2 ON T1.BLOCKFLOOR = T2.BLOOD WHERE T2.SSN = 'A' GROUP BY T2.blockfloor",0,0,0,3509.11,no such column: T2.BLOOD
hospital_1_36,How many rooms does each block floor have?,"SELECT count(*) ,  T1.blockfloor FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockfloor;","SELECT count(*), T1.blockfloor FROM BLOCK AS T1 JOIN patient AS T2 ON T1.BLOCKFLOOR = T2.BLOOD WHERE T2.SSN = 'A' GROUP BY T2.blockfloor","SELECT COUNT(*), T1.blockfloor FROM BLOCK AS T1 JOIN patient AS T2 ON T1.BLOCKFLOOR = T2.BLOOD WHERE T2.SSN = 'A' GROUP BY T2.blockfloor",0,0,0,3588.89,no such column: T2.BLOOD
hospital_1_37,Find the number of rooms for different block code?,"SELECT count(*) ,  T1.blockcode FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockcode;","SELECT count(*), T1.blockcode FROM BLOCK AS T1 JOIN patient AS T2 ON T1.BLOCK_CODE = T2.patient_id GROUP BY T2.blockcode","SELECT COUNT(*), T1.blockcode FROM BLOCK AS T1 JOIN patient AS T2 ON T1.BLOCK_CODE = T2.patient_id GROUP BY T2.blockcode",0,0,0,3518.54,no such column: T1.BLOCK_CODE
hospital_1_38,How many rooms are located for each block code?,"SELECT count(*) ,  T1.blockcode FROM BLOCK AS T1 JOIN room AS T2 ON T1.blockfloor  =  T2.blockfloor AND T1.blockcode  =  T2.blockcode GROUP BY T1.blockcode;","SELECT T1.blockcode, count(*) FROM BLOCK AS T1 JOIN patient AS T2 ON T1.BLOCK_CODE = T2.patient_ID GROUP BY T2.blockcode","SELECT T1.blockcode, COUNT(*) FROM BLOCK AS T1 JOIN patient AS T2 ON T1.BLOCK_CODE = T2.patient_ID GROUP BY T2.blockcode",0,0,0,3431.62,no such column: T1.BLOCK_CODE
hospital_1_39,What are the unique block codes that have available rooms?,SELECT DISTINCT blockcode FROM room WHERE unavailable  =  0;,SELECT DISTINCT blockcode FROM room WHERE unavailable = 0,SELECT DISTINCT blockcode FROM room WHERE unavailable = 0,1,1,1,2628.16,
hospital_1_40,Tell me the distinct block codes where some rooms are available.,SELECT DISTINCT blockcode FROM room WHERE unavailable  =  0;,SELECT DISTINCT blockcode FROM room WHERE unavailable = 'Yes',SELECT DISTINCT blockcode FROM room WHERE unavailable = 'Yes',0,0,1,2500.38,
hospital_1_41,How many different types of rooms are there?,SELECT count(DISTINCT roomtype) FROM room;,SELECT count(DISTINCT roomtype) FROM appointment,SELECT COUNT(DISTINCT roomtype) FROM appointment,0,0,0,873.78,no such column: roomtype
hospital_1_42,Find the number of distinct room types available.,SELECT count(DISTINCT roomtype) FROM room;,SELECT count(DISTINCT roomtype) FROM room,SELECT COUNT(DISTINCT roomtype) FROM room,1,1,1,762.76,
hospital_1_43,What is the names of the physicians who prescribe medication Thesisin?,"SELECT DISTINCT T1.name FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician JOIN medication AS T3 ON T3.code = T2.medication WHERE T3.name  =  ""Thesisin"";","SELECT T1.name FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician WHERE T2.name = ""Thesisin""","SELECT T1.name FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician WHERE T2.name = ""Thesisin""",0,0,0,3242.44,no such column: T2.name
hospital_1_44,List the names of all the physicians who prescribe Thesisin as medication.,"SELECT DISTINCT T1.name FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician JOIN medication AS T3 ON T3.code = T2.medication WHERE T3.name  =  ""Thesisin"";","SELECT T1.name FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician WHERE T2.name = ""Thesisin""","SELECT T1.name FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician WHERE T2.name = ""Thesisin""",0,0,0,3377.95,no such column: T2.name
hospital_1_45,Find the name and position of physicians who prescribe some medication whose brand is X?,"SELECT DISTINCT T1.name ,  T1.position FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician JOIN medication AS T3 ON T3.code = T2.medication WHERE T3.Brand  =  ""X"";","SELECT T2.name, T2.position FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician = T2.EmployeeID WHERE T1.name = ""X""","SELECT T2.name, T2.position FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician = T2.EmployeeID WHERE T1.name = ""X""",0,0,0,2845.19,no such column: T1.name
hospital_1_46,Which physicians prescribe a medication of brand X? Tell me the name and position of those physicians.,"SELECT DISTINCT T1.name ,  T1.position FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician JOIN medication AS T3 ON T3.code = T2.medication WHERE T3.Brand  =  ""X"";","SELECT T1.name, T1.position FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician POSITION = 'X'",,0,0,0,3288.12,ParseError
hospital_1_47,Find the number of medications prescribed for each brand.,"SELECT count(*) ,  T1.name FROM medication AS T1 JOIN prescribes AS T2 ON T1.code = T2.medication GROUP BY T1.brand;","SELECT T1.name, count(*) FROM medication AS T1 JOIN prescribes AS T2 ON T1.code = T2.medication GROUP BY T1.brand","SELECT T1.name, COUNT(*) FROM medication AS T1 JOIN prescribes AS T2 ON T1.code = T2.medication GROUP BY T1.brand",0,0,1,2240.17,
hospital_1_48,How many medications are prescribed for each brand?,"SELECT count(*) ,  T1.name FROM medication AS T1 JOIN prescribes AS T2 ON T1.code = T2.medication GROUP BY T1.brand;","SELECT T1.name, count(*) FROM medication AS T1 JOIN appointment AS T2 ON T1.code = T2.medication GROUP BY T1.brand","SELECT T1.name, COUNT(*) FROM medication AS T1 JOIN appointment AS T2 ON T1.code = T2.medication GROUP BY T1.brand",0,0,0,2490.89,no such column: T2.medication
hospital_1_49,Find the name of physicians whose position title contains the word 'senior'.,SELECT name FROM physician WHERE POSITION LIKE '%senior%';,SELECT name FROM physician WHERE POSITION LIKE '%senior%',SELECT name FROM physician WHERE POSITION LIKE '%senior%',1,1,1,2894.75,
hospital_1_50,What are the names of the physicians who have 'senior' in their titles.,SELECT name FROM physician WHERE POSITION LIKE '%senior%';,SELECT name FROM physician WHERE POSITION LIKE '%senior%',SELECT name FROM physician WHERE POSITION LIKE '%senior%',1,1,1,2722.29,
hospital_1_51,Find the patient who has the most recent undergoing treatment?,SELECT patient FROM undergoes ORDER BY dateundergoes LIMIT 1;,SELECT patient FROM undergoes ORDER BY dateundergoes DESC LIMIT 1,SELECT patient FROM undergoes ORDER BY dateundergoes DESC LIMIT 1,0,0,1,2590.07,
hospital_1_52,Which patient is undergoing the most recent treatment?,SELECT patient FROM undergoes ORDER BY dateundergoes LIMIT 1;,SELECT patient FROM undergoes ORDER BY dateundergoes DESC LIMIT 1,SELECT patient FROM undergoes ORDER BY dateundergoes DESC LIMIT 1,0,0,1,2654.74,
