id,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
hospital_1_53,Find the names of all patients who have an undergoing treatment and are staying in room 111.,SELECT DISTINCT T2.name FROM undergoes AS T1 JOIN patient AS T2 ON T1.patient = T2.SSN JOIN stay AS T3 ON T1.Stay  =  T3.StayID WHERE T3.room  =  111;,SELECT T1.name FROM patient AS T1 JOIN undergoes AS T2 ON T1.ssn = T2.patient WHERE T2.room = 111,SELECT T1.name FROM patient AS T1 JOIN undergoes AS T2 ON T1.ssn = T2.patient WHERE T2.room = 111,0,0,0,3019.08,no such column: T2.room
hospital_1_54,What are the names of patients who are staying in room 111 and have an undergoing treatment?,SELECT DISTINCT T2.name FROM undergoes AS T1 JOIN patient AS T2 ON T1.patient = T2.SSN JOIN stay AS T3 ON T1.Stay  =  T3.StayID WHERE T3.room  =  111;,SELECT T1.name FROM patient AS T1 JOIN undergoes AS T2 ON T1.ssn = T2.patient WHERE T2.room = 111 AND T2.treatment = 'Treatment',SELECT T1.name FROM patient AS T1 JOIN undergoes AS T2 ON T1.ssn = T2.patient WHERE T2.room = 111 AND T2.treatment = 'Treatment',0,0,0,2997.15,no such column: T2.room
hospital_1_55,List the names of all distinct nurses ordered by alphabetical order?,SELECT DISTINCT name FROM nurse ORDER BY name;,SELECT DISTINCT name FROM nurse ORDER BY name ASC,SELECT DISTINCT name FROM nurse ORDER BY name ASC,0,1,1,3227.11,
hospital_1_56,What is the alphabetically ordered list of all the distinct names of nurses?,SELECT DISTINCT name FROM nurse ORDER BY name;,SELECT DISTINCT name FROM nurse ORDER BY name ASC,SELECT DISTINCT name FROM nurse ORDER BY name ASC,0,1,1,3267.02,
hospital_1_57,Find the names of nurses who are nursing an undergoing treatment.,SELECT DISTINCT T2.name FROM undergoes AS T1 JOIN nurse AS T2 ON T1.AssistingNurse  =  T2.EmployeeID;,SELECT T1.name FROM nurse AS T1 JOIN undergoes AS T2 ON T1.EmployeeID = T2.AssistingNurse,SELECT T1.name FROM nurse AS T1 JOIN undergoes AS T2 ON T1.EmployeeID = T2.AssistingNurse,0,1,1,2894.32,
hospital_1_58,Which nurses are in charge of patients undergoing treatments?,SELECT DISTINCT T2.name FROM undergoes AS T1 JOIN nurse AS T2 ON T1.AssistingNurse  =  T2.EmployeeID;,SELECT T1.name FROM nurse AS T1 JOIN undergoes AS T2 ON T1.EmployeeID = T2.AssistingNurse,SELECT T1.name FROM nurse AS T1 JOIN undergoes AS T2 ON T1.EmployeeID = T2.AssistingNurse,0,1,1,3259.47,
hospital_1_59,"List the names of all distinct medications, ordered in an alphabetical order.",SELECT DISTINCT name FROM medication ORDER BY name;,SELECT DISTINCT name FROM medication ORDER BY name ASC,SELECT DISTINCT name FROM medication ORDER BY name ASC,0,1,1,1097.1,
hospital_1_60,What is the alphabetically ordered list of all distinct medications?,SELECT DISTINCT name FROM medication ORDER BY name;,SELECT DISTINCT name FROM medication ORDER BY name,SELECT DISTINCT name FROM medication ORDER BY name,1,1,1,2093.25,
hospital_1_61,What are the names of the physician who prescribed the highest dose?,SELECT T1.name FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician ORDER BY T2.dose DESC LIMIT 1;,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician = T2.EmployeeID ORDER BY T1.Dose DESC LIMIT 1,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician = T2.EmployeeID ORDER BY T1.Dose DESC LIMIT 1,0,0,0,2834.01,no such column: T1.Dose
hospital_1_62,Find the physician who prescribed the highest dose. What is his or her name?,SELECT T1.name FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician ORDER BY T2.dose DESC LIMIT 1;,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician = T2.EmployeeID ORDER BY T1.Dose DESC LIMIT 1,SELECT T2.name FROM appointment AS T1 JOIN physician AS T2 ON T1.Physician = T2.EmployeeID ORDER BY T1.Dose DESC LIMIT 1,0,0,0,2596.74,no such column: T1.Dose
hospital_1_63,List the physicians' employee ids together with their primary affiliation departments' ids.,"SELECT physician ,  department FROM affiliated_with WHERE primaryaffiliation  =  1;","SELECT T1.employeeid, T1.departmentid FROM physician AS T1 JOIN affiliated_with AS T2 ON T2.physician_id = T1.Employed_with.Physican * INTERSECT ASC LIMIT 1",,0,0,0,3466.98,ParseError
hospital_1_64,What are each physician's employee id and department id primarily affiliated.,"SELECT physician ,  department FROM affiliated_with WHERE primaryaffiliation  =  1;","SELECT T1.name, T1.departmentid FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.employeeid = T2.physician WHERE T2.principalaffiliation = 1","SELECT T1.name, T1.departmentid FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.employeeid = T2.physician WHERE T2.principalaffiliation = 1",0,0,0,2906.88,no such column: T1.departmentid
hospital_1_65,List the names of departments where some physicians are primarily affiliated with.,SELECT DISTINCT T2.name FROM affiliated_with AS T1 JOIN department AS T2 ON T1.department = T2.departmentid WHERE PrimaryAffiliation  =  1;,SELECT T2.name FROM affiliated_with AS T1 JOIN physician AS T2 ON T1.physician = T2.employeeid WHERE T1.primaryaffiliation = 1,SELECT T2.name FROM affiliated_with AS T1 JOIN physician AS T2 ON T1.physician = T2.employeeid WHERE T1.primaryaffiliation = 1,0,0,1,2444.93,
hospital_1_66,What are the names of departments that have primarily affiliated physicians.,SELECT DISTINCT T2.name FROM affiliated_with AS T1 JOIN department AS T2 ON T1.department = T2.departmentid WHERE PrimaryAffiliation  =  1;,SELECT T2.name FROM affiliated_with AS T1 JOIN physician AS T2 ON T1.physician = T2.employeeid WHERE primaryaffiliation = 1,SELECT T2.name FROM affiliated_with AS T1 JOIN physician AS T2 ON T1.physician = T2.employeeid WHERE primaryaffiliation = 1,0,0,1,2492.08,
hospital_1_67,What nurses are on call with block floor 1 and block code 1? Tell me their names.,SELECT nurse FROM on_call WHERE blockfloor  =  1 AND blockcode  =  1;,SELECT T1.name FROM nurse AS T1 JOIN on_call AS T2 ON T1.employeeid = T2.nurse WHERE T2.blockfloor = 1 AND T1.blockcode = 1,SELECT T1.name FROM nurse AS T1 JOIN on_call AS T2 ON T1.employeeid = T2.nurse WHERE T2.blockfloor = 1 AND T1.blockcode = 1,0,0,0,2451.11,no such column: T1.blockcode
hospital_1_68,Find the ids of the nurses who are on call in block floor 1 and block code 1.,SELECT nurse FROM on_call WHERE blockfloor  =  1 AND blockcode  =  1;,SELECT nurse FROM on_call WHERE blockfloor = 1 AND blockcode = 1,SELECT nurse FROM on_call WHERE blockfloor = 1 AND blockcode = 1,1,1,1,3110.79,
hospital_1_69,"What are the highest cost, lowest cost and average cost of procedures?","SELECT MAX(cost) ,  MIN(cost) ,  AVG(cost) FROM procedures;","SELECT max(cost), avg(cost) FROM procedures GROUP BY procedures ORDER BY count(*) DESC LIMIT 1","SELECT MAX(cost), AVG(cost) FROM procedures GROUP BY procedures ORDER BY COUNT(*) DESC LIMIT 1",0,0,0,3475.73,no such column: procedures
hospital_1_70,"Tell me the highest, lowest, and average cost of procedures.","SELECT MAX(cost) ,  MIN(cost) ,  AVG(cost) FROM procedures;","SELECT max(cost), avg(cost) FROM procedures","SELECT MAX(cost), AVG(cost) FROM procedures",0,0,1,2012.01,
hospital_1_71,List the name and cost of all procedures sorted by the cost from the highest to the lowest.,"SELECT name ,  cost FROM procedures ORDER BY cost DESC;","SELECT name, cost FROM procedures ORDER BY cost DESC","SELECT name, cost FROM procedures ORDER BY cost DESC",1,1,1,3005.82,
hospital_1_72,Sort the list of names and costs of all procedures in the descending order of cost.,"SELECT name ,  cost FROM procedures ORDER BY cost DESC;","SELECT name, cost FROM procedures ORDER BY cost DESC","SELECT name, cost FROM procedures ORDER BY cost DESC",1,1,1,2331.12,
hospital_1_73,Find the three most expensive procedures.,SELECT name FROM procedures ORDER BY cost LIMIT 3;,SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment ORDER BY T2.cost DESC LIMIT 3,SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment ORDER BY T2.cost DESC LIMIT 3,0,0,0,2481.71,no such column: T2.cost
hospital_1_74,What are the three most costly procedures?,SELECT name FROM procedures ORDER BY cost LIMIT 3;,SELECT T1.name FROM procedures AS T1 JOIN department AS T2 ON T1.code = T2.treatment ORDER BY T2.cost DESC LIMIT 3,SELECT T1.name FROM procedures AS T1 JOIN department AS T2 ON T1.code = T2.treatment ORDER BY T2.cost DESC LIMIT 3,0,0,0,3228.18,no such column: T2.treatment
hospital_1_75,Find the physicians who are trained in a procedure that costs more than 5000.,SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T3.cost  >  5000;,SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid = T2.physician WHERE T2.cost > 5000,SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid = T2.physician WHERE T2.cost > 5000,0,0,0,3569.75,no such column: T2.cost
hospital_1_76,Which physicians are trained in procedures that are more expensive than 5000?,SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T3.cost  >  5000;,SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid = T2.physician WHERE T2.cost > 5000,SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid = T2.physician WHERE T2.cost > 5000,0,0,0,3508.27,no such column: T2.cost
hospital_1_77,Find the physician who was trained in the most expensive procedure?,SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment ORDER BY T3.cost DESC LIMIT 1;,SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid = T2.physician WHERE T2.treatment = 'Treatment' ORDER BY T2.cost DESC LIMIT 1,SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid = T2.physician WHERE T2.treatment = 'Treatment' ORDER BY T2.cost DESC LIMIT 1,0,0,0,3938.27,no such column: T2.cost
hospital_1_78,Which physician was trained in the procedure that costs the most.,SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment ORDER BY T3.cost DESC LIMIT 1;,SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid = T2.physician WHERE T2.cost = (SELECT max(cost) FROM procedures),SELECT T1.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid = T2.physician WHERE T2.cost = (SELECT MAX(cost) FROM procedures),0,0,0,3279.77,no such column: T2.cost
hospital_1_79,What is the average cost of procedures that physician John Wen was trained in?,"SELECT avg(T3.cost) FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"";","avg(T1.cost) FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid = T2.physician INTERSECT SELECT T2.name FROM physician WHERE T1.name = ""John Wen""",,0,0,0,3789.2,ParseError
hospital_1_80,Compute the mean price of procedures physician John Wen was trained in.,"SELECT avg(T3.cost) FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"";","SELECT avg(T1.cost) FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.name = ""John Wen""","SELECT AVG(T1.cost) FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.name = ""John Wen""",0,0,0,3080.3,no such column: T2.name
hospital_1_81,Find the names of procedures which physician John Wen was trained in.,"SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"";","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.name = ""John Wen""","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.name = ""John Wen""",0,0,0,2584.33,no such column: T2.name
hospital_1_82,What are the names of procedures physician John Wen was trained in?,"SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"";","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.name = ""John Wen""","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.name = ""John Wen""",0,0,0,2642.82,no such column: T2.name
hospital_1_83,Find all procedures which cost more than 1000 or which physician John Wen was trained in.,"SELECT name FROM procedures WHERE cost  >  1000 UNION SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"";","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.name = ""John Wen"" OR T2.cost > 1000","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.name = ""John Wen"" OR T2.cost > 1000",0,0,0,2458.71,no such column: T2.name
hospital_1_84,What are the procedures that cost more than 1000 or are specialized in by physician John Wen?,"SELECT name FROM procedures WHERE cost  >  1000 UNION SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"";","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.name = ""John Wen"" OR T2.cost > 1000","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.name = ""John Wen"" OR T2.cost > 1000",0,0,0,2306.38,no such column: T2.name
hospital_1_85,Find the names of all procedures which cost more than 1000 but which physician John Wen was not trained in?,"SELECT name FROM procedures WHERE cost  >  1000 EXCEPT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"";","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.cost > 1000 AND T2.physician!= ""John Wen""","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.cost > 1000 AND T2.physician <> ""John Wen""",0,0,0,3380.3,no such column: T2.cost
hospital_1_86,"Among the procedures that cost more than 1000, which were not specialized in by physician John Wen?","SELECT name FROM procedures WHERE cost  >  1000 EXCEPT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"";","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.name = ""John Wen"" AND T1.cost > 1000","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.name = ""John Wen"" AND T1.cost > 1000",0,0,0,6340.59,no such column: T2.name
hospital_1_87,Find the names of all procedures such that the cost is less than 5000 and physician John Wen was trained in.,"SELECT name FROM procedures WHERE cost  <  5000 INTERSECT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"";","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.cost < 5000 AND physician = ""John Wen""","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.cost < 5000 AND physician = ""John Wen""",0,0,0,2302.72,no such column: T2.cost
hospital_1_88,What procedures cost less than 5000 and have John Wen as a trained physician?,"SELECT name FROM procedures WHERE cost  <  5000 INTERSECT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"";","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.name = ""John Wen"" AND T1.cost < 5000","SELECT T1.name FROM procedures AS T1 JOIN trained_in AS T2 ON T1.code = T2.treatment WHERE T2.name = ""John Wen"" AND T1.cost < 5000",0,0,0,2515.32,no such column: T2.name
hospital_1_89,Find the name of physicians who are affiliated with both Surgery and Psychiatry departments.,SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T3.name  =  'Surgery' INTERSECT SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T3.name  =  'Psychiatry';,SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.employeeid = T2.physician WHERE T2.department = 'Surgery' INTERSECT IDENTIFIER - T3.name,,0,0,0,4745.67,ParseError
hospital_1_90,Which physicians are affiliated with both Surgery and Psychiatry departments? Tell me their names.,SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T3.name  =  'Surgery' INTERSECT SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T3.name  =  'Psychiatry';,SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.employeeid = T2.physician WHERE T2.department = 'Surgery' INTERSECT IDENTIFIER - T3.name,,0,0,0,5069.1,ParseError
hospital_1_91,Find the name of physicians who are affiliated with Surgery or Psychiatry department.,SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T3.name  =  'Surgery' OR T3.name  =  'Psychiatry';,"SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.employeeid = T2.physician WHERE T2.department = ""Surgery"" OR T2.DepartmentID = ""Psychiatry""","SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.employeeid = T2.physician WHERE T2.department = ""Surgery"" OR T2.DepartmentID = ""Psychiatry""",0,0,0,3948.35,no such column: T2.DepartmentID
hospital_1_92,Which physicians are affiliated with either Surgery or Psychiatry department? Give me their names.,SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T3.name  =  'Surgery' OR T3.name  =  'Psychiatry';,"SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.employeeid = T2.physician WHERE T2.department = ""Surgery"" OR T2.depty = ""Psychiatry""","SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.employeeid = T2.physician WHERE T2.department = ""Surgery"" OR T2.depty = ""Psychiatry""",0,0,0,3374.17,no such column: T2.depty
hospital_1_93,Find the names of patients who are not using the medication of Procrastin-X.,SELECT name FROM patient EXCEPT SELECT T1.name FROM patient AS T1 JOIN Prescribes AS T2 ON T2.Patient  =  T1.SSN JOIN Medication AS T3 ON T2.Medication  =  T3.Code WHERE T3.name  =  'Procrastin-X';,SELECT name FROM patient WHERE SSN NOT IN (SELECT T1.SSN FROM patient AS T1 JOIN appointment AS T2 ON T1.Patient.EmployeeID),SELECT name FROM patient WHERE NOT SSN IN (SELECT T1.SSN FROM patient AS T1 JOIN appointment AS T2 ON T1.Patient.EmployeeID),0,0,0,3180.59,no such column: T1.Patient.EmployeeID
hospital_1_94,What are the names of patients who are not taking the medication of Procrastin-X.,SELECT name FROM patient EXCEPT SELECT T1.name FROM patient AS T1 JOIN Prescribes AS T2 ON T2.Patient  =  T1.SSN JOIN Medication AS T3 ON T2.Medication  =  T3.Code WHERE T3.name  =  'Procrastin-X';,SELECT name FROM patient WHERE SSN NOT IN (SELECT T1.SSN FROM patient AS T1 JOIN appointment AS T2 ON T1.EmployeeID = T2.AppointmentID),SELECT name FROM patient WHERE NOT SSN IN (SELECT T1.SSN FROM patient AS T1 JOIN appointment AS T2 ON T1.EmployeeID = T2.AppointmentID),0,0,0,2778.44,no such column: T1.EmployeeID
hospital_1_95,Find the number of patients who are not using the medication of Procrastin-X.,SELECT count(*) FROM patient WHERE SSN NOT IN ( SELECT T1.patient FROM Prescribes AS T1 JOIN Medication AS T2 ON T1.Medication  =  T2.Code WHERE T2.name  =  'Procrastin-X' );,SELECT count(*) FROM patient WHERE SSN NOT IN (SELECT T1.SSN FROM patient AS T1 JOIN appointment AS T2 ON T1.EmployeeID = T2.AppointmentID) INTERSECT,,0,0,0,3192.05,ParseError
hospital_1_96,How many patients are not using Procrastin-X as medication?,SELECT count(*) FROM patient WHERE SSN NOT IN ( SELECT T1.patient FROM Prescribes AS T1 JOIN Medication AS T2 ON T1.Medication  =  T2.Code WHERE T2.name  =  'Procrastin-X' );,SELECT count(*) FROM patient WHERE SSN NOT IN (SELECT T1.SSN FROM patient AS T1 JOIN appointment AS T2 ON T1.Patient.EmployeeID = T2.AssistingNurse),SELECT COUNT(*) FROM patient WHERE NOT SSN IN (SELECT T1.SSN FROM patient AS T1 JOIN appointment AS T2 ON T1.Patient.EmployeeID = T2.AssistingNurse),0,0,0,3754.19,no such column: T1.Patient.EmployeeID
hospital_1_97,How many appointments are there?,SELECT count(*) FROM appointment;,SELECT count(*) FROM appointment,SELECT COUNT(*) FROM appointment,1,1,1,2510.38,
hospital_1_98,Count how many appointments have been made in total.,SELECT count(*) FROM appointment;,SELECT count(*) FROM appointment,SELECT COUNT(*) FROM appointment,1,1,1,2214.06,
hospital_1_99,Find the names of nurses who are on call.,SELECT DISTINCT T1.name FROM nurse AS T1 JOIN on_call AS T2 ON T1.EmployeeID  =  T2.nurse;,SELECT T1.name FROM nurse AS T1 JOIN on_call AS T2 ON T1.employeeid = T2.nurse,SELECT T1.name FROM nurse AS T1 JOIN on_call AS T2 ON T1.employeeid = T2.nurse,0,1,1,2306.46,
hospital_1_100,What are the distinct names of nurses on call?,SELECT DISTINCT T1.name FROM nurse AS T1 JOIN on_call AS T2 ON T1.EmployeeID  =  T2.nurse;,SELECT DISTINCT T1.name FROM nurse AS T1 JOIN on_call AS T2 ON T1.employeeid = T2.nurse,SELECT DISTINCT T1.name FROM nurse AS T1 JOIN on_call AS T2 ON T1.employeeid = T2.nurse,0,1,1,2887.32,
